"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"505","Sam Rinzel","CHI","D","34","481.1166666666667","2","7","5","2","9","37.50","44","4.55","2.16","110","69","35","2","2","10","28","10","9","0","1","3","37","7","25","39","37","0","0","-"
"506","Calum Ritchie","NYI","C","46","475.3","6","3","2","1","9","90.00","40","15.00","4.31","70","56","40","20","1","6","16","8","8","0","0","5","29","5","13","34","26","105","188","35.84"
"507","Uvis Balinskis","FLA","D","53","751.2166666666667","2","7","4","3","9","34.62","45","4.44","2.29","99","62","33","4","5","8","28","14","14","0","0","11","28","14","67","66","34","0","0","-"
"508","Artyom Levshunov","CHI","D","57","853.35","1","8","4","4","9","33.33","49","2.04","2.13","125","73","34","6","0","6","32","16","16","0","0","6","65","11","66","92","46","0","0","-"
"509","Zeev Buium","MIN, VAN","D","56","866.55","2","7","5","2","9","36.00","38","5.26","2.13","108","56","42","5","2","9","14","7","7","0","0","10","47","10","14","67","30","0","0","-"
"510","Berkly Catton","SEA","C","45","509.45","4","5","0","5","9","60.00","41","9.76","5.87","90","73","54","23","1","4","14","7","7","0","0","9","23","9","5","60","23","39","54","41.94"
"511","Nick Foligno","CHI","L","37","377.0","3","5","2","3","8","57.14","25","12.00","2.64","43","34","25","13","2","4","25","8","5","3","0","12","18","4","86","14","24","120","121","49.79"
"512","Drew Doughty","L.A","D","51","931.5166666666667","2","6","4","2","8","23.53","54","3.70","1.83","125","79","20","3","5","10","26","13","13","0","0","4","55","10","23","62","48","0","0","-"
"513","Victor Hedman","T.B","D","26","355.3666666666667","1","7","3","4","8","50.00","24","4.17","1.03","70","46","15","0","1","6","8","4","4","0","0","4","23","3","12","19","26","0","0","-"
"514","Marcus Foligno","MIN","L","48","536.1","3","5","2","3","8","66.67","48","6.25","5.87","83","74","53","29","5","6","56","18","13","4","1","11","24","8","150","36","31","7","8","46.67"
"515","Brandon Saad","VGK","L","45","553.15","3","5","4","1","8","47.06","68","4.41","7.81","123","94","80","43","5","16","14","7","7","0","0","2","27","9","10","18","16","9","18","33.33"
"516","Ryan Strome","ANA","C","33","350.5","2","6","3","3","8","61.54","32","6.25","5.17","76","57","49","28","0","11","27","11","10","1","0","8","21","5","16","16","8","84","92","47.73"
"517","Jamie Oleksiak","SEA","D","59","891.95","3","5","2","3","8","24.24","53","5.66","2.31","113","81","20","4","1","8","14","7","7","0","0","4","47","15","80","65","67","0","0","-"
