"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"104","Sam Bennett","FLA","C","63","204.56666666666666","3","8","3","5","11","45.83","31","9.68","6.08","79","49","50","26","1","6","14","6","6","0","0","2","7","3","1","4","0","71","58","55.04"
"105","Nikolaj Ehlers","CAR","L","62","167.7","3","8","3","5","11","57.89","25","12.00","2.7","56","38","20","5","0","6","2","1","1","0","0","0","10","0","0","2","0","6","5","54.55"
"106","Nick Schmaltz","UTA","C","62","192.06666666666666","4","7","6","1","11","52.38","34","11.76","6.61","61","48","54","30","1","6","4","2","2","0","0","1","4","3","2","4","0","48","50","48.98"
"107","Zach Werenski","CBJ","D","54","142.16666666666666","2","9","5","4","11","73.33","30","6.67","2.39","54","39","20","3","0","4","0","0","0","0","0","0","8","3","0","1","0","0","0","-"
"108","Auston Matthews","TOR","C","57","150.35","4","7","3","4","11","61.11","36","11.11","4.67","73","53","41","7","0","4","4","2","2","0","0","1","3","3","2","3","0","23","13","63.89"
"109","Jordan Kyrou","STL","R","52","119.65","2","9","2","7","11","84.62","23","8.70","2.44","46","28","18","5","0","3","0","0","0","0","0","0","5","2","1","3","0","1","0","100.00"
"110","Kiefer Sherwood","S.J, VAN","L","50","105.61666666666666","7","4","3","1","11","64.71","24","29.17","4.58","45","37","34","13","0","7","0","0","0","0","0","0","3","0","2","4","1","1","3","25.00"
"111","Seth Jarvis","CAR","C","54","158.65","4","7","4","3","11","47.83","37","10.81","5.88","48","45","36","19","0","3","2","1","1","0","0","2","2","1","3","10","1","1","4","20.00"
"112","Brandt Clarke","L.A","D","61","131.71666666666667","2","9","5","4","11","68.75","22","9.09","2.18","39","27","12","5","0","5","0","0","0","0","0","1","5","1","1","2","5","0","0","-"
"113","Beckett Sennecke","ANA","R","62","131.66666666666666","1","10","6","4","11","68.75","23","4.35","5.81","44","40","27","20","0","7","4","2","2","0","0","1","6","0","2","5","0","0","0","-"
"114","Artyom Levshunov","CHI","D","57","149.96666666666667","1","10","1","9","11","57.89","14","7.14","1.08","35","19","15","1","0","3","2","1","1","0","0","1","4","1","1","1","4","0","0","-"
"115","Zeev Buium","MIN, VAN","D","56","153.06666666666666","3","8","4","4","11","55.00","13","23.08","1.19","35","22","12","1","0","4","2","1","1","0","0","0","9","0","2","8","2","0","0","-"
"116","Corey Perry","L.A","R","50","121.75","3","7","5","2","10","50.00","23","13.04","5.35","33","31","27","23","0","7","2","1","1","0","0","2","7","0","0","3","0","1","8","11.11"
"117","Nazem Kadri","CGY","C","61","183.25","2","8","4","4","10","62.50","34","5.88","6.46","83","61","43","17","0","4","6","3","3","0","0","1","10","0","2","3","0","35","35","50.00"
"118","Erik Haula","NSH","L","62","92.55","2","8","2","6","10","71.43","12","16.67","2.43","21","17","14","10","0","1","0","0","0","0","0","0","4","0","2","2","1","32","31","50.79"
"119","Tom Wilson","WSH","R","54","154.15","7","3","2","1","10","62.50","28","25.00","7.13","55","44","51","36","0","8","14","3","2","0","1","3","7","0","5","6","0","3","4","42.86"
"120","Anthony Mantha","PIT","R","61","128.91666666666666","5","5","3","2","10","55.56","27","18.52","3.4","41","31","24","13","0","6","0","0","0","0","0","0","4","2","0","1","1","0","2","0.00"
"121","William Nylander","TOR","R","46","122.16666666666667","4","6","6","0","10","76.92","21","19.05","2.4","43","31","18","9","0","6","0","0","0","0","0","0","5","1","0","1","0","0","5","0.00"
"122","Jared McCann","SEA","L","37","100.65","5","5","3","2","10","71.43","28","17.86","3.2","50","40","26","5","0","4","0","0","0","0","0","1","6","1","2","0","0","0","0","-"
"123","Timo Meier","N.J","R","58","124.81666666666666","6","4","3","1","10","71.43","43","13.95","8.1","76","58","47","25","0","9","2","1","1","0","0","0","6","0","3","9","0","13","9","59.09"
"124","Brock Boeser","VAN","R","55","178.56666666666666","3","7","5","2","10","41.67","25","12.00","4.92","63","43","42","17","0","5","0","0","0","0","0","0","7","0","1","3","0","5","4","55.56"
"125","Filip Hronek","VAN","D","62","100.2","3","7","3","4","10","83.33","12","25.00","1.04","34","20","6","1","0","0","2","1","1","0","0","0","6","1","2","1","1","0","0","-"
