"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"645","David Kampf","VAN","C","7","92.5","0","0","0","0","0","-","5","0.00","0.49","9","6","8","2","1","1","4","2","2","0","0","1","3","0","7","6","5","45","38","54.22"
"646","Jacob Bryson","BUF, WPG","D","3","30.566666666666666","0","0","0","0","0","0.00","1","0.00","0.01","4","1","1","0","0","0","0","0","0","0","0","1","2","0","1","3","0","0","0","-"
"647","Joe Veleno","MTL","C","3","29.916666666666668","0","0","0","0","0","-","1","0.00","0.01","3","1","1","1","0","0","0","0","0","0","0","0","1","1","6","2","1","6","6","50.00"
"648","Kevin Bahl","CGY","D","10","182.46666666666667","0","0","0","0","0","0.00","8","0.00","0.48","22","12","7","3","0","3","4","2","2","0","0","2","8","3","9","12","9","0","0","-"
"649","Adam Boqvist","NYI","D","1","12.9","0","0","0","0","0","-","1","0.00","0.08","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","5","0","0","0","-"
"650","Curtis Douglas","T.B, VAN","C","3","18.766666666666666","0","0","0","0","0","-","2","0.00","0.34","3","3","1","1","0","0","17","3","1","1","1","0","0","0","7","0","1","1","1","50.00"
"651","Jacob Bernard-Docker","DET","D","10","163.15","0","0","0","0","0","0.00","10","0.00","0.31","22","14","3","0","0","1","4","2","2","0","0","2","7","0","7","28","14","0","0","-"
"652","Jordan Harris","BOS","D","1","14.966666666666667","0","0","0","0","0","-","1","0.00","0.08","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","-"
"653","Paul Cotter","N.J","L","10","85.15","0","0","0","0","0","-","3","0.00","0.8","13","7","7","3","0","0","0","0","0","0","0","4","1","0","27","15","1","8","10","44.44"
"654","Spencer Stastney","EDM","D","8","112.3","0","0","0","0","0","0.00","3","0.00","0.12","9","4","3","2","0","1","4","2","2","0","0","0","5","1","0","9","5","0","0","-"
"655","Jake Christiansen","CBJ","D","1","11.466666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","3","0","0","-"
"656","Brayden Pachal","CGY","D","5","70.81666666666666","0","0","0","0","0","0.00","6","0.00","0.09","10","7","0","0","0","0","8","4","4","0","0","1","4","0","11","7","3","0","0","-"
"657","Nico Sturm","MIN","C","9","71.01666666666667","0","0","0","0","0","0.00","0","-","0.38","6","3","2","1","0","0","4","2","2","0","0","0","4","0","10","3","2","16","17","48.48"
"658","Raphael Lavoie","VGK","C","1","8.566666666666666","0","0","0","0","0","-","0","-","0.03","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0.00"
"659","Ville Heinola","WPG","D","3","34.06666666666667","0","0","0","0","0","0.00","4","0.00","0.26","7","6","3","0","0","2","0","0","0","0","0","1","1","0","5","7","3","0","0","-"
"660","Albert Johansson","DET","D","10","149.6","0","0","0","0","0","0.00","8","0.00","0.2","19","13","2","1","0","2","4","2","2","0","0","0","4","5","3","20","10","0","0","-"
"661","Cole Schwindt","FLA","R","5","47.21666666666667","0","0","0","0","0","0.00","3","0.00","0.72","7","7","6","4","0","0","2","1","1","0","0","0","1","1","6","3","1","17","21","44.74"
"662","Juuso Parssinen","NYR","C","3","28.0","0","0","0","0","0","0.00","2","0.00","0.6","3","3","3","2","0","1","4","2","2","0","0","2","1","0","4","3","0","8","12","40.00"
"663","Dmitri Voronkov","CBJ","L","8","74.85","0","0","0","0","0","0.00","5","0.00","0.99","12","8","8","4","0","0","2","1","1","0","0","0","3","1","12","3","3","1","0","100.00"
"664","Max Crozier","T.B","D","1","11.816666666666666","0","0","0","0","0","-","2","0.00","0.14","3","2","2","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","-"
"665","Elmer Soderblom","DET, PIT","L","6","56.7","0","0","0","0","0","-","5","0.00","0.43","9","6","2","2","0","0","0","0","0","0","0","1","2","2","14","4","2","2","1","66.67"
"666","Adam Edstrom","NYR","C","3","28.866666666666667","0","0","0","0","0","0.00","3","0.00","0.29","6","3","4","1","0","2","0","0","0","0","0","1","3","0","5","3","0","0","0","-"
"667","Louis Crevier","CHI","D","10","163.61666666666667","0","0","0","0","0","0.00","14","0.00","0.58","28","24","4","2","0","3","8","4","4","0","0","0","5","1","16","16","14","0","0","-"
"668","Marco Rossi","VAN","C","7","89.45","0","0","0","0","0","0.00","5","0.00","0.63","9","9","6","5","1","0","0","0","0","0","0","1","5","3","6","3","4","35","36","49.30"
"669","Jack Finley","STL, T.B","C","8","66.51666666666667","0","0","0","0","0","-","5","0.00","0.63","12","8","8","4","0","3","4","2","2","0","0","0","4","1","13","5","1","17","26","39.53"
"670","Jake Sanderson","OTT","D","9","152.26666666666668","0","0","0","0","0","0.00","14","0.00","0.89","38","25","12","1","2","6","0","0","0","0","0","1","11","3","0","19","8","0","0","-"
"671","Sam Colangelo","ANA","R","1","8.866666666666667","0","0","0","0","0","-","2","0.00","0.21","4","2","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"672","Emil Andrae","PHI","D","5","57.56666666666667","0","0","0","0","0","0.00","0","-","0.05","7","2","2","0","0","1","0","0","0","0","0","0","2","1","8","14","4","0","0","-"
"673","Donovan Sebrango","FLA","D","6","71.76666666666667","0","0","0","0","0","0.00","7","0.00","0.26","16","12","5","0","0","0","14","3","2","0","1","2","2","0","10","11","5","0","0","-"
"674","Brett Berard","NYR","L","1","8.75","0","0","0","0","0","-","0","-","0.04","1","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-"
"675","Wyatt Kaiser","CHI","D","6","88.61666666666666","0","0","0","0","0","0.00","3","0.00","0.14","10","8","3","0","0","1","2","1","1","0","0","1","4","4","2","10","5","0","0","-"
"676","Isaak Phillips","WPG","D","1","12.05","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"677","Matt Rempe","NYR","C","4","31.7","0","0","0","0","0","0.00","0","-","0.42","3","3","3","2","0","0","2","1","1","0","0","1","0","0","15","5","1","0","0","-"
"678","Emil Heineman","NYI","L","10","137.16666666666666","0","0","0","0","0","-","11","0.00","1.28","25","20","17","3","0","1","0","0","0","0","0","0","6","1","28","15","4","1","2","33.33"
"679","Matthew Kessel","STL","D","6","74.86666666666666","0","0","0","0","0","0.00","5","0.00","0.14","10","7","1","0","0","1","6","3","3","0","0","1","2","0","9","11","4","0","0","-"
"680","Josh Dunne","BUF","C","3","26.25","0","0","0","0","0","-","3","0.00","0.69","5","5","4","3","0","0","2","1","1","0","0","1","1","1","3","5","0","6","1","85.71"
"681","Walker Duehr","WPG","R","3","28.2","0","0","0","0","0","-","2","0.00","0.33","5","5","4","1","0","0","0","0","0","0","0","0","1","2","10","3","1","0","1","0.00"
"682","Scott Morrow","NYR","D","4","52.916666666666664","0","0","0","0","0","-","2","0.00","0.07","13","5","4","1","0","1","2","1","1","0","0","0","3","1","2","2","1","0","0","-"
"683","Matt Coronato","CGY","R","10","131.61666666666667","0","0","0","0","0","-","23","0.00","1.78","41","27","20","4","2","6","2","1","1","0","0","1","9","1","3","8","3","5","7","41.67"
