game_id,date,season,name,team,opp,score,scored,pp1,ixg_l10,hdcf_l10,sog_l10,atoi_l10,ga_g
2008020092,20081023,2008,Nik Antropov,TOR,BOS,8.949,1,True,0.496,0.67,2.67,17.1,2.67
2008020093,20081023,2008,Brenden Morrow,DAL,NYI,9.731,1,True,0.487,0.43,3.43,20.8,3.2
2008020093,20081023,2008,Brad Richards,DAL,NYI,5.971,0,False,0.178,0.14,3.0,20.5,3.2
2008020093,20081023,2008,Mike Modano,DAL,NYI,7.519,0,True,0.242,0.14,2.71,18.0,3.2
2008020093,20081023,2008,Fabian Brunnstrom,DAL,NYI,6.038,0,True,0.218,0.2,2.4,14.6,3.2
2008020093,20081023,2008,Doug Weight,NYI,DAL,7.618,0,True,0.292,0.6,2.0,18.6,4.14
2008020093,20081023,2008,Mike Comrie,NYI,DAL,8.287,0,True,0.369,0.4,2.8,15.5,4.14
2008020093,20081023,2008,Trent Hunter,NYI,DAL,5.085,0,False,0.21,0.0,2.4,17.1,4.14
2008020093,20081023,2008,Bill Guerin,NYI,DAL,8.371,1,True,0.36,0.6,3.2,16.9,4.14
2008020094,20081023,2008,Matt Cullen,CAR,PIT,7.545,0,True,0.424,0.8,2.2,16.8,2.29
2008020094,20081023,2008,Rod Brind'Amour,CAR,PIT,6.806,0,True,0.331,0.4,2.2,19.6,2.29
2008020094,20081023,2008,Eric Staal,CAR,PIT,9.416,0,True,0.46,0.4,4.8,22.7,2.29
2008020094,20081023,2008,Tyler Kennedy,PIT,CAR,6.293,0,False,0.256,0.29,2.57,14.1,3.0
2008020094,20081023,2008,Evgeni Malkin,PIT,CAR,8.808,1,True,0.32,0.14,3.86,22.1,3.0
2008020094,20081023,2008,Miroslav Satan,PIT,CAR,8.168,0,True,0.317,0.29,2.0,18.0,3.0
2008020095,20081023,2008,Todd Bertuzzi,CGY,NSH,9.538,0,True,0.467,0.67,2.67,21.4,3.67
2008020095,20081023,2008,Jarome Iginla,CGY,NSH,9.173,1,True,0.37,0.0,4.17,22.5,3.67
2008020095,20081023,2008,Martin Erat,NSH,CGY,5.767,0,True,0.174,0.33,2.0,17.5,3.83
2008020096,20081023,2008,Ales Kotalik,BUF,MIN,7.829,0,True,0.386,0.33,3.0,15.7,1.75
2008020096,20081023,2008,Thomas Vanek,BUF,MIN,12.73,1,True,0.842,1.67,5.67,20.0,1.75
2008020097,20081023,2008,Milan Hejduk,COL,EDM,9.576,0,True,0.484,1.0,4.17,21.2,2.4
2008020097,20081023,2008,Ryan Smyth,COL,EDM,8.914,0,True,0.401,0.33,3.83,20.6,2.4
2008020097,20081023,2008,Shawn Horcoff,EDM,COL,8.0,1,True,0.255,0.2,3.2,20.4,3.67
2008020097,20081023,2008,Erik Cole,EDM,COL,7.986,0,True,0.334,0.2,2.6,16.7,3.67
2008020097,20081023,2008,Robert Nilsson,EDM,COL,7.296,0,True,0.336,0.2,2.4,16.9,3.67
2008020098,20081023,2008,Shane Doan,ARI,WSH,11.487,0,True,0.638,1.2,3.6,19.0,3.0
2008020098,20081023,2008,Peter Mueller,ARI,WSH,5.073,1,False,0.169,0.2,2.6,17.6,3.0
2008020098,20081023,2008,Mikkel Boedker,ARI,WSH,5.941,1,True,0.19,0.0,2.2,16.5,3.0
2008020098,20081023,2008,Michael Nylander,WSH,ARI,5.33,0,True,0.238,0.67,1.83,15.0,3.4
2008020098,20081023,2008,Alexander Semin,WSH,ARI,9.337,0,True,0.483,0.67,3.67,18.7,3.4
2008020098,20081023,2008,Alex Ovechkin,WSH,ARI,10.085,0,True,0.479,0.33,5.0,25.1,3.4
2008020099,20081024,2008,Daniel Alfredsson,OTT,ANA,9.065,1,True,0.36,0.4,3.6,22.0,3.14
2008020099,20081024,2008,Dany Heatley,OTT,ANA,10.757,0,True,0.66,0.67,2.83,21.6,3.14
2008020099,20081024,2008,Jason Spezza,OTT,ANA,7.345,0,False,0.277,0.17,2.67,21.5,3.14
2008020100,20081024,2008,John Madden,NJD,PHI,6.966,0,False,0.24,0.17,3.0,18.6,4.67
2008020100,20081024,2008,Zach Parise,NJD,PHI,9.325,1,True,0.396,0.33,4.17,17.8,4.67
2008020100,20081024,2008,Patrik Elias,NJD,PHI,10.327,0,True,0.496,1.17,5.0,17.7,4.67
2008020100,20081024,2008,Simon Gagne,PHI,NJD,6.385,1,True,0.327,0.8,2.8,21.4,1.5
2008020100,20081024,2008,Mike Richards,PHI,NJD,7.211,0,True,0.325,0.17,2.0,23.6,1.5
2008020100,20081024,2008,Jeff Carter,PHI,NJD,6.805,1,True,0.222,0.0,3.5,21.4,1.5
2008020101,20081024,2008,Rick Nash,CBJ,NYR,8.281,0,True,0.353,0.17,5.0,22.6,2.0
2008020101,20081024,2008,Kristian Huselius,CBJ,NYR,5.63,0,True,0.24,0.17,2.17,20.2,2.0
2008020101,20081024,2008,Derick Brassard,CBJ,NYR,6.111,0,True,0.377,0.67,1.67,14.2,2.0
2008020101,20081024,2008,Scott Gomez,NYR,CBJ,7.926,0,True,0.225,0.0,3.56,22.2,3.83
2008020101,20081024,2008,Brandon Dubinsky,NYR,CBJ,7.207,1,True,0.26,0.22,2.89,16.2,3.83
2008020102,20081024,2008,Cory Stillman,FLA,SJS,6.623,1,True,0.29,0.17,2.33,18.1,2.57
2008020102,20081024,2008,Nathan Horton,FLA,SJS,7.897,1,True,0.355,0.33,3.17,18.7,2.57
2008020102,20081024,2008,David Booth,FLA,SJS,8.493,0,True,0.436,0.17,3.33,16.5,2.57
2008020102,20081024,2008,Jonathan Cheechoo,SJS,FLA,6.343,0,False,0.289,0.14,2.29,16.9,3.0
2008020102,20081024,2008,Joe Pavelski,SJS,FLA,7.028,0,False,0.298,0.43,2.71,18.1,3.0
2008020102,20081024,2008,Devin Setoguchi,SJS,FLA,9.893,0,True,0.496,0.71,3.71,15.1,3.0
2008020102,20081024,2008,Patrick Marleau,SJS,FLA,9.542,1,True,0.443,0.86,3.71,22.6,3.0
2008020103,20081024,2008,Ilya Kovalchuk,ATL,DET,5.359,0,False,0.189,0.0,2.5,21.9,2.83
2008020103,20081024,2008,Bryan Little,ATL,DET,5.908,0,True,0.24,0.0,2.33,17.3,2.83
2008020103,20081024,2008,Johan Franzen,DET,ATL,8.255,0,True,0.328,0.17,3.33,18.0,2.83
2008020103,20081024,2008,Tomas Holmstrom,DET,ATL,8.754,0,True,0.452,0.67,2.17,15.9,2.83
2008020104,20081024,2008,Anze Kopitar,LAK,STL,6.985,0,True,0.249,0.4,1.6,20.9,3.17
2008020104,20081024,2008,Dustin Brown,LAK,STL,9.796,1,True,0.496,0.4,3.2,21.1,3.17
2008020104,20081024,2008,Alex Frolov,LAK,STL,10.534,0,True,0.611,0.6,2.4,19.3,3.17
2008020104,20081024,2008,Brad Boyes,STL,LAK,6.178,0,False,0.224,0.0,2.0,20.7,2.8
2008020104,20081024,2008,Keith Tkachuk,STL,LAK,10.141,0,True,0.566,0.5,3.67,17.1,2.8
2008020105,20081025,2008,Ilya Kovalchuk,ATL,BOS,5.181,1,False,0.2,0.14,2.29,22.2,2.86
2008020105,20081025,2008,Bryan Little,ATL,BOS,5.48,0,True,0.207,0.0,2.0,17.7,2.86
2008020105,20081025,2008,Marc Savard,BOS,ATL,9.551,0,True,0.426,0.43,3.29,20.5,3.14
2008020105,20081025,2008,Phil Kessel,BOS,ATL,7.912,0,True,0.281,0.29,3.57,17.9,3.14
