game_id,date,name,team,opp,score,cat,scored,ixg_l10,hdcf_l10,sog_l10,atoi_l10
2008020130,20081028,Todd Bertuzzi,CGY,COL,9.11,JOUABLE,0,0.458,0.62,2.5,20.7
2008020130,20081028,Jarome Iginla,CGY,COL,8.11,JOUABLE,0,0.357,0.12,4.0,22.1
2008020130,20081028,Milan Hejduk,COL,CGY,9.94,SAFE,0,0.485,0.75,4.25,20.9
2008020130,20081028,Ryan Smyth,COL,CGY,8.11,JOUABLE,0,0.366,0.38,3.12,20.6
2008020130,20081028,Joe Sakic,COL,CGY,8.37,JOUABLE,0,0.325,0.12,3.75,21.3
2008020130,20081028,Paul Stastny,COL,CGY,7.84,JOUABLE,0,0.304,0.38,2.62,21.4
2008020131,20081028,Marc Savard,BOS,VAN,8.11,JOUABLE,0,0.367,0.33,3.33,20.4
2008020131,20081028,Phil Kessel,BOS,VAN,7.84,JOUABLE,0,0.329,0.33,3.67,18.3
2008020132,20081028,Sidney Crosby,PIT,SJS,8.37,JOUABLE,0,0.427,0.44,4.0,22.6
2008020132,20081028,Patrick Marleau,SJS,PIT,9.11,JOUABLE,0,0.485,0.78,4.11,22.5
2008020133,20081029,Zach Parise,NJD,TOR,7.84,JOUABLE,1,0.384,0.5,4.25,18.7
2008020133,20081029,Patrik Elias,NJD,TOR,7.56,JOUABLE,0,0.411,0.88,4.62,18.2
2008020134,20081029,Brenden Morrow,DAL,MIN,8.37,JOUABLE,1,0.471,0.33,3.44,21.2
2008020135,20081029,Henrik Zetterberg,DET,ANA,8.37,JOUABLE,1,0.387,0.29,4.71,19.5
2008020136,20081030,Thomas Vanek,BUF,TBL,9.34,JOUABLE,1,0.636,1.11,4.78,19.9
2008020136,20081030,Vincent Lecavalier,TBL,BUF,7.84,JOUABLE,0,0.417,0.38,4.12,19.3
2008020137,20081030,Scott Gomez,NYR,ATL,9.34,JOUABLE,0,0.309,0.3,4.0,22.8
2008020138,20081030,Jeff Carter,PHI,NYI,8.63,JOUABLE,1,0.311,0.11,4.11,21.3
2008020139,20081030,Dany Heatley,OTT,FLA,9.94,SAFE,1,0.615,0.67,3.56,20.8
2008020141,20081030,Alex Kovalev,MTL,MIN,8.11,JOUABLE,0,0.437,0.5,3.25,20.1
2008020142,20081030,Eric Staal,CAR,STL,8.63,JOUABLE,0,0.446,0.38,4.12,22.4
2008020143,20081030,Rick Nash,CBJ,COL,8.11,JOUABLE,0,0.361,0.33,4.11,22.0
2008020143,20081030,Milan Hejduk,COL,CBJ,10.83,ELITE,0,0.435,0.67,3.89,20.9
2008020143,20081030,Ryan Smyth,COL,CBJ,9.94,SAFE,0,0.337,0.33,2.89,20.7
2008020143,20081030,Joe Sakic,COL,CBJ,9.94,SAFE,0,0.361,0.22,3.89,21.1
2008020143,20081030,Paul Stastny,COL,CBJ,9.55,SAFE,1,0.316,0.44,2.67,21.4
2008020144,20081030,Todd Bertuzzi,CGY,BOS,7.56,JOUABLE,0,0.415,0.56,2.33,20.4
2008020144,20081030,Jarome Iginla,CGY,BOS,7.56,JOUABLE,0,0.323,0.11,3.67,22.2
2008020145,20081030,Shane Doan,ARI,PIT,8.63,JOUABLE,1,0.523,0.86,3.0,20.4
2008020145,20081030,Sidney Crosby,PIT,ARI,9.34,JOUABLE,0,0.39,0.4,3.6,22.6
2008020145,20081030,Evgeni Malkin,PIT,ARI,7.84,JOUABLE,0,0.349,0.2,3.4,22.2
2008020146,20081030,Dustin Brown,LAK,VAN,7.56,JOUABLE,0,0.415,0.25,3.75,21.4
2008020146,20081030,Alex Frolov,LAK,VAN,8.37,JOUABLE,0,0.484,0.5,2.12,19.1
2008020147,20081030,Henrik Zetterberg,DET,SJS,7.84,JOUABLE,0,0.438,0.38,4.75,19.9
2008020147,20081030,Ryane Clowe,SJS,DET,7.84,JOUABLE,1,0.484,0.7,3.0,15.1
2008020147,20081030,Devin Setoguchi,SJS,DET,7.56,JOUABLE,0,0.416,0.6,3.4,15.2
2008020147,20081030,Patrick Marleau,SJS,DET,9.55,SAFE,1,0.448,0.7,3.7,22.6
2008020148,20081031,Patrick Kane,CHI,DAL,9.11,JOUABLE,1,0.446,0.67,3.33,20.9
2008020148,20081031,Brenden Morrow,DAL,CHI,9.55,SAFE,0,0.461,0.3,3.7,21.4
2008020149,20081031,Kyle Wellwood,VAN,ANA,8.11,JOUABLE,0,0.559,1.0,1.4,13.7
2008020150,20081101,Eric Staal,CAR,EDM,8.63,JOUABLE,0,0.41,0.33,4.11,22.4
2008020151,20081101,Marc Savard,BOS,DAL,8.63,JOUABLE,0,0.374,0.4,3.5,20.7
2008020151,20081101,Brenden Morrow,DAL,BOS,8.63,JOUABLE,0,0.412,0.2,3.9,21.3
2008020152,20081101,Thomas Vanek,BUF,WSH,9.34,JOUABLE,1,0.605,1.0,4.5,20.0
2008020154,20081101,Zach Parise,NJD,ATL,8.87,JOUABLE,1,0.351,0.44,4.0,19.4
2008020154,20081101,Patrik Elias,NJD,ATL,8.63,JOUABLE,1,0.396,0.78,4.44,17.5
2008020155,20081101,Alex Kovalev,MTL,NYI,8.11,JOUABLE,1,0.392,0.44,2.89,19.9
2008020155,20081101,Bill Guerin,NYI,MTL,7.56,JOUABLE,1,0.385,0.56,4.0,18.2
2008020156,20081101,Rick Nash,CBJ,CHI,8.11,JOUABLE,0,0.331,0.3,3.9,21.9
2008020156,20081101,Patrick Sharp,CHI,CBJ,9.94,SAFE,1,0.405,0.5,3.3,20.0
2008020156,20081101,Patrick Kane,CHI,CBJ,9.94,SAFE,0,0.449,0.6,3.4,20.9
2008020157,20081101,Dany Heatley,OTT,TBL,9.94,SAFE,1,0.633,0.8,3.5,20.8
2008020157,20081101,Vincent Lecavalier,TBL,OTT,7.84,JOUABLE,1,0.43,0.33,4.33,19.4
2008020159,20081101,Evgeni Malkin,PIT,STL,8.37,JOUABLE,1,0.402,0.2,4.2,21.9
2008020160,20081101,Shane Doan,ARI,MIN,9.55,SAFE,0,0.565,0.88,3.25,20.6
2008020161,20081101,Todd Bertuzzi,CGY,LAK,7.56,JOUABLE,0,0.384,0.5,2.1,20.8
2008020161,20081101,Jarome Iginla,CGY,LAK,7.56,JOUABLE,0,0.302,0.1,3.5,22.3
2008020162,20081102,Shawn Horcoff,EDM,PHI,7.56,JOUABLE,0,0.359,0.3,3.2,20.7
2008020162,20081102,Jeff Carter,PHI,EDM,7.56,JOUABLE,1,0.333,0.1,4.3,21.5
2008020163,20081102,Eric Staal,CAR,TOR,8.63,JOUABLE,1,0.416,0.4,4.2,22.4
2008020164,20081102,David Booth,FLA,ATL,8.37,JOUABLE,1,0.371,0.2,3.0,16.8
2008020165,20081102,Milan Hejduk,COL,SJS,8.63,JOUABLE,1,0.409,0.6,3.8,21.0
2008020165,20081102,Ryane Clowe,SJS,COL,7.56,JOUABLE,1,0.454,0.7,3.0,14.9
2008020165,20081102,Patrick Marleau,SJS,COL,9.55,SAFE,0,0.484,0.8,3.9,22.4
2008020167,20081102,Marian Hossa,DET,VAN,7.84,JOUABLE,0,0.294,0.1,4.6,18.1
2008020167,20081102,Henrik Zetterberg,DET,VAN,9.75,SAFE,1,0.395,0.33,4.44,19.7
2008020167,20081102,Daniel Sedin,VAN,DET,8.11,JOUABLE,0,0.443,0.5,3.1,19.3
2008020168,20081103,Thomas Vanek,BUF,NJD,8.37,JOUABLE,0,0.606,1.1,4.1,19.7
2008020168,20081103,Zach Parise,NJD,BUF,7.84,JOUABLE,0,0.385,0.5,4.0,19.1
2008020169,20081103,Rick Nash,CBJ,NYI,9.55,SAFE,0,0.404,0.3,4.5,21.8
2008020169,20081103,Trent Hunter,NYI,CBJ,7.56,JOUABLE,0,0.31,0.3,2.8,17.6
2008020169,20081103,Bill Guerin,NYI,CBJ,9.75,SAFE,1,0.383,0.5,4.0,18.1
