game_id,date,name,team,opp,sog_score,hit_sog,actual_sog,pp1,is_home,sog_l10,atoi_l10,ixg_l10,hdcf_l10,season_g,sa_g,sog_x_atoi
2008020119,20081025,Michael Cammalleri,CGY,ARI,2.0,1,3,0,0,2.43,17.3,0.2856,0.14,0.286,30.8,42.0
2008020119,20081025,Todd Bertuzzi,CGY,ARI,6.0,0,1,1,0,2.71,21.1,0.4264,0.57,0.714,30.8,57.39
2008020119,20081025,Jarome Iginla,CGY,ARI,9.0,1,4,1,0,4.0,22.4,0.3757,0.14,0.714,30.8,89.73
2008020120,20081027,Ales Kotalik,BUF,OTT,5.75,1,5,1,1,3.0,16.1,0.313,0.25,0.5,32.1,48.33
2008020120,20081027,Daniel Paille,BUF,OTT,0.75,0,2,0,1,1.62,16.6,0.1916,0.12,0.125,32.1,27.0
2008020120,20081027,Derek Roy,BUF,OTT,5.75,1,4,1,1,2.88,23.6,0.1925,0.25,0.125,32.1,67.88
2008020120,20081027,Thomas Vanek,BUF,OTT,9.25,1,4,1,1,4.88,20.0,0.6763,1.25,1.0,32.1,97.42
2008020120,20081027,Clarke MacArthur,BUF,OTT,0.75,1,3,0,1,1.25,16.1,0.126,0.25,0.375,32.1,20.1
2008020120,20081027,Jason Pominville,BUF,OTT,3.75,0,1,0,1,2.38,21.1,0.138,0.0,0.25,32.1,50.17
2008020120,20081027,Antoine Vermette,OTT,BUF,6.5,0,1,1,0,3.5,18.2,0.399,0.62,0.125,28.5,63.53
2008020120,20081027,Daniel Alfredsson,OTT,BUF,6.5,0,0,1,0,3.29,21.6,0.368,0.57,0.429,28.5,70.81
2008020120,20081027,Dany Heatley,OTT,BUF,7.0,1,7,1,0,3.12,21.4,0.596,0.62,0.5,28.5,66.73
2008020120,20081027,Jason Spezza,OTT,BUF,3.5,1,7,0,0,2.62,21.0,0.2829,0.25,0.375,28.5,55.02
2008020121,20081027,Doug Weight,NYI,NYR,4.25,0,1,1,1,2.14,19.3,0.3554,0.57,0.286,27.3,41.34
2008020121,20081027,Trent Hunter,NYI,NYR,2.25,0,2,0,1,2.86,17.7,0.2894,0.29,0.571,27.3,50.58
2008020121,20081027,Bill Guerin,NYI,NYR,7.25,0,2,1,1,4.43,17.8,0.4106,0.57,0.286,27.3,78.87
2008020121,20081027,Scott Gomez,NYR,NYI,7.5,1,5,1,0,3.9,22.4,0.304,0.2,0.182,31.3,87.48
2008020121,20081027,Brandon Dubinsky,NYR,NYI,5.0,0,1,1,0,3.0,16.2,0.2605,0.2,0.364,31.3,48.53
2008020122,20081027,Teemu Selanne,ANA,CBJ,4.0,0,1,1,0,2.89,17.0,0.3848,0.33,0.222,28.2,49.23
2008020122,20081027,Samuel Pahlsson,ANA,CBJ,-0.5,0,2,0,0,1.67,18.0,0.156,0.11,0.222,28.2,30.0
2008020122,20081027,Corey Perry,ANA,CBJ,4.5,1,5,1,0,3.0,16.2,0.276,0.11,0.111,28.2,48.68
2008020122,20081027,Ryan Getzlaf,ANA,CBJ,3.5,1,3,1,0,2.62,17.1,0.2762,0.12,0.25,28.2,44.91
2008020122,20081027,Rick Nash,CBJ,ANA,9.75,0,2,1,1,4.38,22.1,0.3825,0.38,0.625,33.0,96.9
2008020122,20081027,Kristian Huselius,CBJ,ANA,5.25,1,5,1,1,2.38,20.0,0.2241,0.12,0.375,33.0,47.55
2008020122,20081027,Jason Chimera,CBJ,ANA,2.25,1,3,0,1,2.25,16.9,0.1904,0.25,0.375,33.0,37.95
2008020123,20081027,Patrick Sharp,CHI,MIN,5.5,1,5,1,0,2.88,20.1,0.384,0.5,0.625,28.5,57.91
2008020123,20081027,Martin Havlat,CHI,MIN,3.0,1,3,0,0,3.0,18.7,0.2223,0.12,0.375,28.5,56.18
2008020123,20081027,Patrick Kane,CHI,MIN,5.5,1,7,1,0,2.88,20.6,0.4057,0.62,0.625,28.5,59.15
2008020123,20081027,Kris Versteeg,CHI,MIN,0.0,1,4,0,0,1.5,18.4,0.1958,0.25,0.25,28.5,27.57
2008020123,20081027,Stephane Veilleux,MIN,CHI,2.25,0,1,0,1,2.33,18.6,0.1697,0.17,0.167,30.8,43.3
2008020123,20081027,Eric Belanger,MIN,CHI,2.25,0,2,0,1,2.17,18.2,0.1975,0.0,0.333,30.8,39.51
2008020123,20081027,Andrew Brunette,MIN,CHI,2.75,0,1,1,1,1.0,18.1,0.2977,0.5,0.333,30.8,18.11
2008020123,20081027,Antti Miettinen,MIN,CHI,6.25,1,4,1,1,3.0,19.9,0.4533,0.5,0.833,30.8,59.75
2008020123,20081027,Mikko Koivu,MIN,CHI,7.75,0,0,1,1,3.67,21.6,0.2998,0.5,0.167,30.8,79.19
2008020124,20081027,Michael Ryder,BOS,EDM,2.0,1,4,0,0,2.88,16.5,0.228,0.38,0.125,30.7,47.53
2008020124,20081027,Marc Savard,BOS,EDM,7.0,1,4,1,0,3.25,20.5,0.3947,0.38,0.625,30.7,66.65
2008020124,20081027,David Krejci,BOS,EDM,1.5,1,3,0,0,2.12,17.1,0.2079,0.38,0.375,30.7,36.43
2008020124,20081027,Patrice Bergeron,BOS,EDM,7.0,0,0,1,0,3.62,19.5,0.3747,0.38,0.125,30.7,70.72
2008020124,20081027,Phil Kessel,BOS,EDM,6.5,1,4,1,0,3.62,18.1,0.2911,0.25,0.75,30.7,65.65
2008020124,20081027,Marco Sturm,BOS,EDM,1.5,1,6,0,0,2.38,17.9,0.2315,0.25,0.125,30.7,42.54
2008020124,20081027,Shawn Horcoff,EDM,BOS,5.75,1,3,1,1,3.0,19.9,0.334,0.29,0.429,30.9,59.61
2008020124,20081027,Robert Nilsson,EDM,BOS,2.25,0,2,0,1,2.0,16.8,0.2529,0.14,0.286,30.9,33.51
2008020125,20081027,Marian Hossa,DET,LAK,5.0,1,7,0,0,4.12,17.7,0.2724,0.0,0.5,24.3,73.06
2008020125,20081027,Pavel Datsyuk,DET,LAK,3.5,0,1,0,0,3.0,19.8,0.2524,0.25,0.125,24.3,59.29
2008020125,20081027,Henrik Zetterberg,DET,LAK,7.5,1,6,1,0,4.5,18.9,0.35,0.17,0.667,24.3,84.91
2008020125,20081027,Anze Kopitar,LAK,DET,2.75,1,3,0,1,2.14,21.2,0.2316,0.29,0.143,29.8,45.44
2008020125,20081027,Dustin Brown,LAK,DET,8.75,0,2,1,1,4.0,21.2,0.4424,0.29,0.429,29.8,84.66
2008020125,20081027,Jarret Stoll,LAK,DET,3.75,0,0,1,1,2.57,17.6,0.2869,0.43,0.571,29.8,45.29
2008020125,20081027,Patrick O'Sullivan,LAK,DET,1.75,0,0,0,1,2.33,18.3,0.2483,0.33,0.5,29.8,42.71
2008020125,20081027,Michal Handzus,LAK,DET,0.25,0,2,0,1,1.43,18.5,0.1436,0.0,0.286,29.8,26.43
2008020125,20081027,Alex Frolov,LAK,DET,4.75,1,3,1,1,2.0,19.0,0.5199,0.57,0.429,29.8,38.02
2008020126,20081028,J-P Dumont,NSH,WSH,3.5,0,2,1,0,2.38,18.3,0.2839,0.25,0.25,27.5,43.39
2008020126,20081028,Martin Erat,NSH,WSH,3.0,0,1,1,0,2.12,18.1,0.1978,0.25,0.5,27.5,38.56
2008020126,20081028,David Legwand,NSH,WSH,-0.5,0,1,0,0,1.75,17.7,0.1938,0.25,0.125,27.5,31.06
2008020126,20081028,Jason Arnott,NSH,WSH,2.0,1,5,1,0,1.8,16.7,0.3716,0.8,0.6,27.5,30.11
2008020126,20081028,Sergei Fedorov,WSH,NSH,3.25,1,3,0,1,2.88,20.3,0.1754,0.12,0.375,25.8,58.4
2008020126,20081028,Alexander Semin,WSH,NSH,5.75,1,5,1,1,3.25,18.7,0.4105,0.5,0.875,25.8,60.65
2008020126,20081028,Brooks Laich,WSH,NSH,1.25,1,3,1,1,1.5,17.4,0.2294,0.38,0.25,25.8,26.05
2008020127,20081028,Vyacheslav Kozlov,ATL,PHI,0.25,0,1,0,1,1.25,16.4,0.1531,0.0,0.375,31.6,20.5
2008020127,20081028,Ilya Kovalchuk,ATL,PHI,5.25,1,5,1,1,2.25,22.0,0.2582,0.25,0.375,31.6,49.47
2008020127,20081028,Bryan Little,ATL,PHI,0.25,1,3,0,1,1.88,17.6,0.1835,0.0,0.5,31.6,32.91
2008020127,20081028,Todd White,ATL,PHI,2.25,0,1,0,1,2.25,18.7,0.1574,0.0,0.25,31.6,42.02
2008020127,20081028,Simon Gagne,PHI,ATL,6.5,1,3,1,0,2.71,21.0,0.4343,0.86,0.714,36.2,56.98
2008020127,20081028,Joffrey Lupul,PHI,ATL,2.0,1,5,0,0,2.12,17.3,0.1703,0.25,0.375,36.2,36.7
2008020127,20081028,Mike Richards,PHI,ATL,4.0,1,4,0,0,2.12,22.9,0.2971,0.12,0.5,36.2,48.7
2008020127,20081028,Jeff Carter,PHI,ATL,9.0,1,4,1,0,4.12,21.7,0.3269,0.12,0.75,36.2,89.35
2008020127,20081028,Scott Hartnell,PHI,ATL,4.0,0,1,1,0,2.38,17.9,0.3405,0.5,0.5,36.2,42.54
2008020127,20081028,Mike Knuble,PHI,ATL,0.5,0,2,0,0,1.5,17.1,0.1512,0.0,0.25,36.2,25.59
2008020128,20081028,Martin St. Louis,TBL,TOR,1.0,1,4,0,0,1.86,21.6,0.1719,0.0,0.143,28.4,40.05
2008020128,20081028,Vinny Prospal,TBL,TOR,4.0,1,3,1,0,2.57,18.8,0.2919,0.14,0.286,28.4,48.27
2008020128,20081028,Vincent Lecavalier,TBL,TOR,7.5,1,4,1,0,4.14,19.5,0.3631,0.29,0.429,28.4,80.89
